date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-10-2021,Ladakh,4-Wheelers,0,289
01-10-2021,Manipur,4-Wheelers,0,916
01-10-2021,Meghalaya,2-Wheelers,0,1414
01-10-2021,Meghalaya,4-Wheelers,0,722
01-10-2021,Mizoram,2-Wheelers,0,1886
01-10-2021,Mizoram,4-Wheelers,0,283
01-10-2021,Nagaland,2-Wheelers,0,650
01-10-2021,Nagaland,4-Wheelers,0,567
01-10-2021,Puducherry,4-Wheelers,0,609
01-10-2021,Tripura,2-Wheelers,0,3015
01-10-2021,Tripura,4-Wheelers,0,366
01-11-2021,Andaman & Nicobar Island,2-Wheelers,0,413
01-11-2021,Andaman & Nicobar Island,4-Wheelers,0,125
01-11-2021,Arunachal Pradesh,2-Wheelers,0,1262
01-11-2021,Arunachal Pradesh,4-Wheelers,0,646
01-11-2021,Assam,4-Wheelers,0,5618
01-11-2021,DNH and DD,4-Wheelers,0,330
01-11-2021,Himachal Pradesh,4-Wheelers,0,4496
01-11-2021,Jammu and Kashmir,4-Wheelers,0,4709
01-11-2021,Ladakh,2-Wheelers,0,28
01-11-2021,Ladakh,4-Wheelers,0,287
01-11-2021,Manipur,4-Wheelers,0,875
01-11-2021,Meghalaya,2-Wheelers,0,1442
01-11-2021,Meghalaya,4-Wheelers,0,806
01-11-2021,Mizoram,2-Wheelers,0,1820
01-11-2021,Mizoram,4-Wheelers,0,328
01-11-2021,Nagaland,2-Wheelers,0,592
01-11-2021,Nagaland,4-Wheelers,0,692
01-11-2021,Tripura,2-Wheelers,0,3843
01-11-2021,Tripura,4-Wheelers,0,326
01-12-2021,Andaman & Nicobar Island,2-Wheelers,0,376
01-12-2021,Arunachal Pradesh,2-Wheelers,0,1036
01-12-2021,Arunachal Pradesh,4-Wheelers,0,709
01-12-2021,Jammu and Kashmir,4-Wheelers,0,5306
01-12-2021,Ladakh,2-Wheelers,0,15
01-12-2021,Ladakh,4-Wheelers,0,167
01-12-2021,Manipur,4-Wheelers,0,849
01-12-2021,Meghalaya,2-Wheelers,0,1101
01-12-2021,Meghalaya,4-Wheelers,0,888
01-12-2021,Mizoram,2-Wheelers,0,1740
01-12-2021,Mizoram,4-Wheelers,0,376
01-12-2021,Nagaland,2-Wheelers,0,353
01-12-2021,Nagaland,4-Wheelers,0,540
01-12-2021,Tripura,4-Wheelers,0,352
01-01-2022,Andaman & Nicobar Island,2-Wheelers,0,336
01-01-2022,Andaman & Nicobar Island,4-Wheelers,0,90
01-01-2022,Arunachal Pradesh,2-Wheelers,0,950
01-01-2022,Arunachal Pradesh,4-Wheelers,0,766
01-01-2022,Assam,4-Wheelers,0,5550
01-01-2022,DNH and DD,4-Wheelers,0,358
01-01-2022,Jammu and Kashmir,4-Wheelers,0,3963
01-01-2022,Ladakh,4-Wheelers,0,150
01-01-2022,Manipur,4-Wheelers,0,687
01-01-2022,Meghalaya,2-Wheelers,0,1112
01-01-2022,Meghalaya,4-Wheelers,0,1063
01-01-2022,Mizoram,2-Wheelers,0,1387
01-01-2022,Mizoram,4-Wheelers,0,311
01-01-2022,Nagaland,2-Wheelers,0,410
01-01-2022,Nagaland,4-Wheelers,0,722
01-01-2022,Puducherry,4-Wheelers,0,758
01-01-2022,Tripura,4-Wheelers,0,394
01-02-2022,Andaman & Nicobar Island,2-Wheelers,0,388
01-02-2022,Andaman & Nicobar Island,4-Wheelers,0,112
01-02-2022,Arunachal Pradesh,2-Wheelers,0,858
01-02-2022,Arunachal Pradesh,4-Wheelers,0,671
01-02-2022,Ladakh,2-Wheelers,0,15
01-02-2022,Ladakh,4-Wheelers,0,44
01-02-2022,Manipur,4-Wheelers,0,834
01-02-2022,Meghalaya,2-Wheelers,0,1145
01-02-2022,Mizoram,2-Wheelers,0,1599
01-02-2022,Mizoram,4-Wheelers,0,354
01-02-2022,Nagaland,2-Wheelers,0,504
01-02-2022,Nagaland,4-Wheelers,0,773
01-02-2022,Puducherry,4-Wheelers,0,622
01-02-2022,Tripura,4-Wheelers,0,340
01-03-2022,Andaman & Nicobar Island,2-Wheelers,0,383
01-03-2022,Arunachal Pradesh,2-Wheelers,0,1111
01-03-2022,Arunachal Pradesh,4-Wheelers,0,679
01-03-2022,Ladakh,2-Wheelers,0,49
01-03-2022,Ladakh,4-Wheelers,0,49
01-03-2022,Manipur,4-Wheelers,0,717
01-03-2022,Meghalaya,2-Wheelers,0,1687
01-03-2022,Meghalaya,4-Wheelers,0,1104
01-03-2022,Mizoram,2-Wheelers,0,1848
01-03-2022,Mizoram,4-Wheelers,0,413
01-03-2022,Nagaland,2-Wheelers,0,541
01-03-2022,Nagaland,4-Wheelers,0,632
01-03-2022,Tripura,4-Wheelers,0,484
01-04-2022,Andaman & Nicobar Island,2-Wheelers,0,407
01-04-2022,Arunachal Pradesh,2-Wheelers,0,1063
01-04-2022,Arunachal Pradesh,4-Wheelers,0,824
01-04-2022,Ladakh,2-Wheelers,0,351
01-04-2022,Ladakh,4-Wheelers,0,105
01-04-2022,Mizoram,2-Wheelers,0,1530
01-04-2022,Mizoram,4-Wheelers,0,323
01-04-2022,Nagaland,4-Wheelers,0,723
01-04-2022,Tripura,4-Wheelers,0,448
01-05-2022,Andaman & Nicobar Island,2-Wheelers,0,358
01-05-2022,Andaman & Nicobar Island,4-Wheelers,0,110
01-05-2022,Arunachal Pradesh,2-Wheelers,0,1241
01-05-2022,Arunachal Pradesh,4-Wheelers,0,965
01-05-2022,Ladakh,2-Wheelers,0,419
01-05-2022,Ladakh,4-Wheelers,0,322
01-05-2022,Manipur,4-Wheelers,0,644
01-05-2022,Meghalaya,2-Wheelers,0,1780
01-05-2022,Mizoram,4-Wheelers,0,397
01-05-2022,Nagaland,4-Wheelers,0,630
01-05-2022,Tripura,4-Wheelers,0,359
01-06-2022,Andaman & Nicobar Island,2-Wheelers,0,423
01-06-2022,Andaman & Nicobar Island,4-Wheelers,0,115
01-06-2022,Arunachal Pradesh,2-Wheelers,0,1253
01-06-2022,Arunachal Pradesh,4-Wheelers,0,1021
01-06-2022,Ladakh,4-Wheelers,0,310
01-06-2022,Manipur,4-Wheelers,0,1029
01-06-2022,Mizoram,4-Wheelers,0,373
01-06-2022,Nagaland,2-Wheelers,0,594
01-06-2022,Nagaland,4-Wheelers,0,735
01-06-2022,Tripura,4-Wheelers,0,354
01-07-2022,Andaman & Nicobar Island,2-Wheelers,0,385
01-07-2022,Andaman & Nicobar Island,4-Wheelers,0,127
01-07-2022,Arunachal Pradesh,2-Wheelers,0,1181
01-07-2022,DNH and DD,4-Wheelers,0,344
01-07-2022,Ladakh,2-Wheelers,0,314
01-07-2022,Manipur,4-Wheelers,0,775
01-07-2022,Mizoram,4-Wheelers,0,319
01-07-2022,Nagaland,2-Wheelers,0,505
01-07-2022,Nagaland,4-Wheelers,0,591
01-07-2022,Tripura,4-Wheelers,0,402
01-08-2022,Andaman & Nicobar Island,2-Wheelers,0,398
01-08-2022,Andaman & Nicobar Island,4-Wheelers,0,154
01-08-2022,Arunachal Pradesh,2-Wheelers,0,1244
01-08-2022,Arunachal Pradesh,4-Wheelers,0,866
01-08-2022,Ladakh,2-Wheelers,0,222
01-08-2022,Manipur,4-Wheelers,0,623
01-08-2022,Meghalaya,4-Wheelers,0,1120
01-08-2022,Mizoram,4-Wheelers,0,408
01-08-2022,Nagaland,2-Wheelers,0,554
01-08-2022,Nagaland,4-Wheelers,0,844
01-08-2022,Tripura,4-Wheelers,0,403
01-09-2022,Andaman & Nicobar Island,2-Wheelers,0,484
01-09-2022,Andaman & Nicobar Island,4-Wheelers,0,128
01-09-2022,Arunachal Pradesh,2-Wheelers,0,1068
01-09-2022,Arunachal Pradesh,4-Wheelers,0,931
01-09-2022,Ladakh,2-Wheelers,0,30
01-09-2022,Ladakh,4-Wheelers,0,189
01-09-2022,Manipur,4-Wheelers,0,820
01-09-2022,Mizoram,4-Wheelers,0,379
01-09-2022,Nagaland,2-Wheelers,0,589
01-09-2022,Nagaland,4-Wheelers,0,780
01-09-2022,Tripura,4-Wheelers,0,465
01-10-2022,Andaman & Nicobar Island,2-Wheelers,0,409
01-10-2022,Andaman & Nicobar Island,4-Wheelers,0,144
01-10-2022,Arunachal Pradesh,2-Wheelers,0,850
01-10-2022,Arunachal Pradesh,4-Wheelers,0,741
01-10-2022,Ladakh,2-Wheelers,0,27
01-10-2022,Ladakh,4-Wheelers,0,264
01-10-2022,Manipur,4-Wheelers,0,596
01-10-2022,Mizoram,4-Wheelers,0,362
01-10-2022,Nagaland,2-Wheelers,0,374
01-10-2022,Nagaland,4-Wheelers,0,690
01-10-2022,Tripura,4-Wheelers,0,416
01-11-2022,Arunachal Pradesh,2-Wheelers,0,1251
01-11-2022,Arunachal Pradesh,4-Wheelers,0,971
01-11-2022,Jammu and Kashmir,4-Wheelers,0,4102
01-11-2022,Ladakh,2-Wheelers,0,23
01-11-2022,Ladakh,4-Wheelers,0,244
01-11-2022,Manipur,4-Wheelers,0,1569
01-11-2022,Meghalaya,4-Wheelers,0,1158
01-11-2022,Mizoram,4-Wheelers,0,378
01-11-2022,Nagaland,2-Wheelers,0,447
01-11-2022,Nagaland,4-Wheelers,0,724
01-11-2022,Punjab,4-Wheelers,0,8875
01-11-2022,Tripura,4-Wheelers,0,410
01-12-2022,Arunachal Pradesh,4-Wheelers,0,865
01-12-2022,Ladakh,2-Wheelers,0,16
01-12-2022,Ladakh,4-Wheelers,0,144
01-12-2022,Manipur,4-Wheelers,0,1478
01-12-2022,Meghalaya,4-Wheelers,0,1150
01-12-2022,Mizoram,4-Wheelers,0,445
01-12-2022,Nagaland,2-Wheelers,0,369
01-12-2022,Nagaland,4-Wheelers,0,490
01-12-2022,Tripura,4-Wheelers,0,385
01-01-2023,Andaman & Nicobar Island,2-Wheelers,0,373
01-01-2023,Andaman & Nicobar Island,4-Wheelers,0,153
01-01-2023,Arunachal Pradesh,2-Wheelers,0,718
01-01-2023,Arunachal Pradesh,4-Wheelers,0,966
01-01-2023,Ladakh,4-Wheelers,0,92
01-01-2023,Mizoram,4-Wheelers,0,476
01-01-2023,Nagaland,2-Wheelers,0,432
01-01-2023,Nagaland,4-Wheelers,0,545
01-01-2023,Punjab,4-Wheelers,0,11608
01-01-2023,Tripura,4-Wheelers,0,399
01-02-2023,Andaman & Nicobar Island,2-Wheelers,0,346
01-02-2023,Andaman & Nicobar Island,4-Wheelers,0,148
01-02-2023,Arunachal Pradesh,2-Wheelers,0,816
01-02-2023,Arunachal Pradesh,4-Wheelers,0,840
01-02-2023,Ladakh,2-Wheelers,0,5
01-02-2023,Ladakh,4-Wheelers,0,49
01-02-2023,Meghalaya,4-Wheelers,0,1002
01-02-2023,Mizoram,4-Wheelers,0,337
01-02-2023,Nagaland,2-Wheelers,0,375
01-02-2023,Nagaland,4-Wheelers,0,806
01-02-2023,Tripura,4-Wheelers,0,328
01-03-2023,Arunachal Pradesh,2-Wheelers,0,1131
01-03-2023,Arunachal Pradesh,4-Wheelers,0,1048
01-03-2023,Ladakh,2-Wheelers,0,30
01-03-2023,Ladakh,4-Wheelers,0,59
01-03-2023,Manipur,4-Wheelers,0,320
01-03-2023,Meghalaya,4-Wheelers,0,1369
01-03-2023,Mizoram,4-Wheelers,0,433
01-03-2023,Nagaland,2-Wheelers,0,693
01-03-2023,Nagaland,4-Wheelers,0,820
01-04-2023,Andaman & Nicobar Island,2-Wheelers,0,325
01-04-2023,Arunachal Pradesh,2-Wheelers,0,971
01-04-2023,Ladakh,2-Wheelers,0,43
01-04-2023,Ladakh,4-Wheelers,0,219
01-04-2023,Manipur,4-Wheelers,0,942
01-04-2023,Mizoram,4-Wheelers,0,336
01-04-2023,Nagaland,2-Wheelers,0,560
01-05-2023,Andaman & Nicobar Island,2-Wheelers,0,436
01-05-2023,Andaman & Nicobar Island,4-Wheelers,0,150
01-05-2023,Arunachal Pradesh,4-Wheelers,0,1132
01-05-2023,Ladakh,4-Wheelers,0,364
01-05-2023,Mizoram,4-Wheelers,0,382
01-05-2023,Nagaland,2-Wheelers,0,610
01-05-2023,Nagaland,4-Wheelers,0,796
01-06-2023,Andaman & Nicobar Island,2-Wheelers,0,373
01-06-2023,Arunachal Pradesh,2-Wheelers,0,1141
01-06-2023,Arunachal Pradesh,4-Wheelers,0,1089
01-06-2023,Ladakh,4-Wheelers,0,304
01-06-2023,Manipur,4-Wheelers,0,220
01-06-2023,Mizoram,4-Wheelers,0,383
01-06-2023,Nagaland,2-Wheelers,0,650
01-06-2023,Nagaland,4-Wheelers,0,620
01-07-2023,Andaman & Nicobar Island,2-Wheelers,0,424
01-07-2023,Arunachal Pradesh,2-Wheelers,0,1315
01-07-2023,Ladakh,4-Wheelers,0,301
01-07-2023,Mizoram,4-Wheelers,0,439
