date,vehicle_category,maker,electric_vehicles_sold
01-12-2023,2-Wheelers,OTHERS,7691
01-01-2022,2-Wheelers,HERO ELECTRIC,8238
01-01-2022,2-Wheelers,OKINAWA,5737
01-01-2022,2-Wheelers,AMPERE,4366
01-01-2022,2-Wheelers,ATHER,1881
01-01-2022,2-Wheelers,PURE EV,1691
01-01-2022,2-Wheelers,OLA ELECTRIC,1107
01-01-2022,2-Wheelers,TVS,1155
01-01-2022,2-Wheelers,REVOLT,673
01-01-2022,2-Wheelers,BAJAJ,612
01-01-2022,2-Wheelers,BEING,1062
01-01-2022,2-Wheelers,JITENDRA,535
01-01-2022,2-Wheelers,OTHERS,3065
01-01-2023,2-Wheelers,OLA ELECTRIC,20148
01-01-2023,2-Wheelers,OKINAWA,4407
01-01-2023,2-Wheelers,HERO ELECTRIC,6399
01-01-2023,2-Wheelers,AMPERE,4456
01-01-2023,2-Wheelers,TVS,10462
01-01-2023,2-Wheelers,ATHER,9224
01-01-2023,2-Wheelers,BAJAJ,2252
01-01-2023,2-Wheelers,OKAYA EV,1265
01-01-2023,2-Wheelers,REVOLT,14
01-01-2023,2-Wheelers,PURE EV,717
01-01-2023,2-Wheelers,BEING,571
01-01-2023,2-Wheelers,JITENDRA,522
01-01-2023,2-Wheelers,OTHERS,4241
01-01-2024,2-Wheelers,OLA ELECTRIC,32275
01-01-2024,2-Wheelers,TVS,15153
01-01-2024,2-Wheelers,ATHER,9244
01-01-2024,2-Wheelers,BAJAJ,10753
01-01-2024,2-Wheelers,AMPERE,2505
01-01-2024,2-Wheelers,OKINAWA,675
01-01-2024,2-Wheelers,HERO ELECTRIC,413
01-01-2024,2-Wheelers,OKAYA EV,574
01-01-2024,2-Wheelers,BGAUSS,1469
01-01-2024,2-Wheelers,BATTRE ELECTRIC,284
01-01-2024,2-Wheelers,KINETIC GREEN,810
01-01-2024,2-Wheelers,REVOLT,524
01-01-2024,2-Wheelers,OTHERS,6664
01-02-2022,2-Wheelers,HERO ELECTRIC,7773
01-02-2022,2-Wheelers,OKINAWA,6122
01-02-2022,2-Wheelers,AMPERE,4431
01-02-2022,2-Wheelers,ATHER,2232
01-02-2022,2-Wheelers,PURE EV,1428
01-02-2022,2-Wheelers,OLA ELECTRIC,3911
01-02-2022,2-Wheelers,TVS,1560
01-02-2022,2-Wheelers,REVOLT,1128
01-02-2022,2-Wheelers,BAJAJ,1372
01-02-2022,2-Wheelers,BEING,1149
01-02-2022,2-Wheelers,JITENDRA,583
01-02-2022,2-Wheelers,OTHERS,4033
01-02-2023,2-Wheelers,OLA ELECTRIC,17762
01-02-2023,2-Wheelers,OKINAWA,3848
01-02-2023,2-Wheelers,HERO ELECTRIC,5863
01-02-2023,2-Wheelers,AMPERE,6003
01-02-2023,2-Wheelers,TVS,12671
01-02-2023,2-Wheelers,ATHER,10069
01-02-2023,2-Wheelers,BAJAJ,2537
01-02-2023,2-Wheelers,OKAYA EV,1232
01-02-2023,2-Wheelers,REVOLT,79
01-02-2023,2-Wheelers,PURE EV,488
01-02-2023,2-Wheelers,BEING,337
01-02-2023,2-Wheelers,JITENDRA,308
01-02-2023,2-Wheelers,OTHERS,4874
01-02-2024,2-Wheelers,OLA ELECTRIC,33967
01-02-2024,2-Wheelers,TVS,14431
01-02-2024,2-Wheelers,ATHER,8957
01-02-2024,2-Wheelers,BAJAJ,11603
01-02-2024,2-Wheelers,AMPERE,2577
01-02-2024,2-Wheelers,OKINAWA,652
01-02-2024,2-Wheelers,HERO ELECTRIC,323
01-02-2024,2-Wheelers,OKAYA EV,649
01-02-2024,2-Wheelers,BGAUSS,1334
01-02-2024,2-Wheelers,BATTRE ELECTRIC,219
01-02-2024,2-Wheelers,KINETIC GREEN,624
01-02-2024,2-Wheelers,REVOLT,473
01-02-2024,2-Wheelers,OTHERS,6154
01-03-2022,2-Wheelers,HERO ELECTRIC,13652
01-03-2022,2-Wheelers,OKINAWA,8586
01-03-2022,2-Wheelers,AMPERE,6666
01-03-2022,2-Wheelers,ATHER,2232
01-03-2022,2-Wheelers,PURE EV,2065
01-03-2022,2-Wheelers,OLA ELECTRIC,9143
01-03-2022,2-Wheelers,TVS,2391
01-03-2022,2-Wheelers,REVOLT,1413
01-03-2022,2-Wheelers,BAJAJ,855
01-03-2022,2-Wheelers,BEING,1013
01-03-2022,2-Wheelers,JITENDRA,1052
01-03-2022,2-Wheelers,OTHERS,5330
01-03-2023,2-Wheelers,OLA ELECTRIC,22398
01-03-2023,2-Wheelers,OKINAWA,4509
01-03-2023,2-Wheelers,HERO ELECTRIC,6661
01-03-2023,2-Wheelers,AMPERE,9736
01-03-2023,2-Wheelers,TVS,16896
01-03-2023,2-Wheelers,ATHER,12180
01-03-2023,2-Wheelers,BAJAJ,4552
01-03-2023,2-Wheelers,OKAYA EV,1765
01-03-2023,2-Wheelers,REVOLT,1140
01-03-2023,2-Wheelers,PURE EV,584
01-03-2023,2-Wheelers,BEING,446
01-03-2023,2-Wheelers,JITENDRA,350
01-03-2023,2-Wheelers,OTHERS,5089
01-03-2024,2-Wheelers,OLA ELECTRIC,44630
01-03-2024,2-Wheelers,TVS,26158
01-03-2024,2-Wheelers,ATHER,17012
01-03-2024,2-Wheelers,BAJAJ,17716
01-03-2024,2-Wheelers,AMPERE,3108
01-03-2024,2-Wheelers,OKINAWA,673
01-03-2024,2-Wheelers,HERO ELECTRIC,316
01-03-2024,2-Wheelers,OKAYA EV,1218
01-03-2024,2-Wheelers,BGAUSS,3070
01-03-2024,2-Wheelers,BATTRE ELECTRIC,625
01-03-2024,2-Wheelers,KINETIC GREEN,3915
01-03-2024,2-Wheelers,REVOLT,585
01-03-2024,2-Wheelers,OTHERS,10579
