date,vehicle_category,maker,electric_vehicles_sold
01-06-2022,2-Wheelers,OTHERS,3658
01-06-2023,2-Wheelers,OLA ELECTRIC,17768
01-06-2023,2-Wheelers,TVS,7772
01-06-2023,2-Wheelers,ATHER,4547
01-06-2023,2-Wheelers,BAJAJ,2975
01-06-2023,2-Wheelers,AMPERE,3006
01-06-2023,2-Wheelers,OKINAWA,2588
01-06-2023,2-Wheelers,HERO ELECTRIC,1123
01-06-2023,2-Wheelers,OKAYA EV,419
01-06-2023,2-Wheelers,BGAUSS,189
01-06-2023,2-Wheelers,BATTRE ELECTRIC,82
01-06-2023,2-Wheelers,KINETIC GREEN,201
01-06-2023,2-Wheelers,REVOLT,705
01-06-2023,2-Wheelers,OTHERS,4466
01-07-2021,2-Wheelers,HERO ELECTRIC,4557
01-07-2021,2-Wheelers,OKINAWA,2633
01-07-2021,2-Wheelers,AMPERE,663
01-07-2021,2-Wheelers,ATHER,1799
01-07-2021,2-Wheelers,PURE EV,1417
01-07-2021,2-Wheelers,TVS,648
01-07-2021,2-Wheelers,REVOLT,321
01-07-2021,2-Wheelers,BAJAJ,730
01-07-2021,2-Wheelers,BEING,494
01-07-2021,2-Wheelers,JITENDRA,212
01-07-2021,2-Wheelers,OTHERS,1202
01-07-2022,2-Wheelers,OLA ELECTRIC,3864
01-07-2022,2-Wheelers,OKINAWA,8394
01-07-2022,2-Wheelers,HERO ELECTRIC,9334
01-07-2022,2-Wheelers,AMPERE,6812
01-07-2022,2-Wheelers,TVS,4348
01-07-2022,2-Wheelers,ATHER,1289
01-07-2022,2-Wheelers,BAJAJ,2482
01-07-2022,2-Wheelers,OKAYA EV,1076
01-07-2022,2-Wheelers,REVOLT,2318
01-07-2022,2-Wheelers,PURE EV,1000
01-07-2022,2-Wheelers,BEING,1245
01-07-2022,2-Wheelers,JITENDRA,880
01-07-2022,2-Wheelers,OTHERS,3562
01-07-2023,2-Wheelers,OLA ELECTRIC,19409
01-07-2023,2-Wheelers,TVS,10272
01-07-2023,2-Wheelers,ATHER,6604
01-07-2023,2-Wheelers,BAJAJ,4081
01-07-2023,2-Wheelers,AMPERE,3530
01-07-2023,2-Wheelers,OKINAWA,2238
01-07-2023,2-Wheelers,HERO ELECTRIC,770
01-07-2023,2-Wheelers,OKAYA EV,775
01-07-2023,2-Wheelers,BGAUSS,653
01-07-2023,2-Wheelers,BATTRE ELECTRIC,133
01-07-2023,2-Wheelers,KINETIC GREEN,229
01-07-2023,2-Wheelers,REVOLT,478
01-07-2023,2-Wheelers,OTHERS,5020
01-08-2021,2-Wheelers,HERO ELECTRIC,5527
01-08-2021,2-Wheelers,OKINAWA,2894
01-08-2021,2-Wheelers,AMPERE,810
01-08-2021,2-Wheelers,ATHER,1613
01-08-2021,2-Wheelers,PURE EV,1094
01-08-2021,2-Wheelers,TVS,651
01-08-2021,2-Wheelers,REVOLT,853
01-08-2021,2-Wheelers,BAJAJ,796
01-08-2021,2-Wheelers,BEING,325
01-08-2021,2-Wheelers,JITENDRA,208
01-08-2021,2-Wheelers,OTHERS,1279
01-08-2022,2-Wheelers,OLA ELECTRIC,3475
01-08-2022,2-Wheelers,OKINAWA,8756
01-08-2022,2-Wheelers,HERO ELECTRIC,9925
01-08-2022,2-Wheelers,AMPERE,6771
01-08-2022,2-Wheelers,TVS,6426
01-08-2022,2-Wheelers,ATHER,5376
01-08-2022,2-Wheelers,BAJAJ,2620
01-08-2022,2-Wheelers,OKAYA EV,905
01-08-2022,2-Wheelers,REVOLT,1662
01-08-2022,2-Wheelers,PURE EV,880
01-08-2022,2-Wheelers,BEING,1099
01-08-2022,2-Wheelers,JITENDRA,653
01-08-2022,2-Wheelers,OTHERS,3678
01-08-2023,2-Wheelers,OLA ELECTRIC,18983
01-08-2023,2-Wheelers,TVS,15296
01-08-2023,2-Wheelers,ATHER,7065
01-08-2023,2-Wheelers,BAJAJ,6508
01-08-2023,2-Wheelers,AMPERE,3654
01-08-2023,2-Wheelers,OKINAWA,1977
01-08-2023,2-Wheelers,HERO ELECTRIC,774
01-08-2023,2-Wheelers,OKAYA EV,1137
01-08-2023,2-Wheelers,BGAUSS,912
01-08-2023,2-Wheelers,BATTRE ELECTRIC,287
01-08-2023,2-Wheelers,KINETIC GREEN,380
01-08-2023,2-Wheelers,REVOLT,508
01-08-2023,2-Wheelers,OTHERS,4990
01-09-2021,2-Wheelers,HERO ELECTRIC,6727
01-09-2021,2-Wheelers,OKINAWA,3321
01-09-2021,2-Wheelers,AMPERE,807
